,size,instance,depth,edge_prob,diag_time,sim_time
0,6,0,1,0.2,0.3613097919987922,0.010486082999705104
1,6,0,2,0.2,0.3613097919987922,0.0016123329987749457
2,6,0,4,0.2,0.3613097919987922,0.003527999997459119
3,6,0,8,0.2,0.3613097919987922,0.0042034589969262015
4,6,0,16,0.2,0.3613097919987922,0.0032595000011497177
5,6,0,1,0.4,0.005659667000145419,0.00035883400050806813
6,6,0,2,0.4,0.005659667000145419,0.0005493329990713391
7,6,0,4,0.4,0.005659667000145419,0.0012343329981376883
8,6,0,8,0.4,0.005659667000145419,0.002150791999156354
9,6,0,16,0.4,0.005659667000145419,0.004563333997793961
10,6,0,1,0.6,0.007533916999818757,0.0004976669988536742
11,6,0,2,0.6,0.007533916999818757,0.000939832996664336
12,6,0,4,0.6,0.007533916999818757,0.0015512079990003258
13,6,0,8,0.6,0.007533916999818757,0.0029173330003686715
14,6,0,16,0.6,0.007533916999818757,0.006245666998438537
15,6,0,1,0.8,0.009725583000545157,0.00046908399963285774
16,6,0,2,0.8,0.009725583000545157,0.0006905829977768008
17,6,0,4,0.8,0.009725583000545157,0.0014178329984133597
18,6,0,8,0.8,0.009725583000545157,0.0026005830004578456
19,6,0,16,0.8,0.009725583000545157,0.005224374999670545
20,6,1,1,0.2,0.004818291999981739,0.00025062500208150595
21,6,1,2,0.2,0.004818291999981739,0.00038516600034199655
22,6,1,4,0.2,0.004818291999981739,0.0007095000000845175
23,6,1,8,0.2,0.004818291999981739,0.0016738749982323498
24,6,1,16,0.2,0.004818291999981739,0.002796625001792563
25,6,1,1,0.4,0.003990708999481285,0.00027154100098414347
26,6,1,2,0.4,0.003990708999481285,0.0004425830011314247
27,6,1,4,0.4,0.003990708999481285,0.000943791997997323
28,6,1,8,0.4,0.003990708999481285,0.0016612500003247987
29,6,1,16,0.4,0.003990708999481285,0.0033314579995931126
30,6,1,1,0.6,0.0051539589985623024,0.0003627500009315554
31,6,1,2,0.6,0.0051539589985623024,0.0006042499990144279
32,6,1,4,0.6,0.0051539589985623024,0.001280625001527369
33,6,1,8,0.6,0.0051539589985623024,0.0025915830010490026
34,6,1,16,0.6,0.0051539589985623024,0.0046831250001559965
35,6,1,1,0.8,0.004894875000900356,0.0003834589988400694
36,6,1,2,0.8,0.004894875000900356,0.000623875002929708
37,6,1,4,0.8,0.004894875000900356,0.0011748339966288768
38,6,1,8,0.8,0.004894875000900356,0.0022673750027024653
39,6,1,16,0.8,0.004894875000900356,0.03338683300171397
40,6,2,1,0.2,0.0043929999992542434,0.0002596670019556768
41,6,2,2,0.2,0.0043929999992542434,0.00030754099861951545
42,6,2,4,0.2,0.0043929999992542434,0.0006017089981469326
43,6,2,8,0.2,0.0043929999992542434,0.0011842919993796386
44,6,2,16,0.2,0.0043929999992542434,0.0021545000017795246
45,6,2,1,0.4,0.005155415998160606,0.00036704200101667084
46,6,2,2,0.4,0.005155415998160606,0.0006142500023997854
47,6,2,4,0.4,0.005155415998160606,0.0012661660002777353
48,6,2,8,0.4,0.005155415998160606,0.0023530420003226027
49,6,2,16,0.4,0.005155415998160606,0.00496204199953354
50,6,2,1,0.6,0.004227792000165209,0.0003759579994948581
51,6,2,2,0.6,0.004227792000165209,0.0005505420012923423
52,6,2,4,0.6,0.004227792000165209,0.0012112920012441464
53,6,2,8,0.6,0.004227792000165209,0.002088833000016166
54,6,2,16,0.6,0.004227792000165209,0.004104792002181057
55,6,2,1,0.8,0.004941207997035235,0.00036862499837297946
56,6,2,2,0.8,0.004941207997035235,0.0006379580008797348
57,6,2,4,0.8,0.004941207997035235,0.0015675419999752194
58,6,2,8,0.8,0.004941207997035235,0.002575833997980226
59,6,2,16,0.8,0.004941207997035235,0.0048754579984233715
60,6,3,1,0.2,0.0038629160007985774,0.00024004100123420358
61,6,3,2,0.2,0.0038629160007985774,0.00038350000249920413
62,6,3,4,0.2,0.0038629160007985774,0.000720083000487648
63,6,3,8,0.2,0.0038629160007985774,0.0014357079999172129
64,6,3,16,0.2,0.0038629160007985774,0.003084290998231154
65,6,3,1,0.4,0.0039504580017819535,0.00024812500123516656
66,6,3,2,0.4,0.0039504580017819535,0.00040220799928647466
67,6,3,4,0.4,0.0039504580017819535,0.0008661659994686488
68,6,3,8,0.4,0.0039504580017819535,0.0015093749971129
69,6,3,16,0.4,0.0039504580017819535,0.0029685420013265684
70,6,3,1,0.6,0.00428687499879743,0.00029358300162130035
71,6,3,2,0.6,0.00428687499879743,0.0004912920012429822
72,6,3,4,0.6,0.00428687499879743,0.0010266249992127996
73,6,3,8,0.6,0.00428687499879743,0.001856124999903841
74,6,3,16,0.6,0.00428687499879743,0.0038852500001667067
75,6,3,1,0.8,0.00499416699676658,0.00040537499808124267
76,6,3,2,0.8,0.00499416699676658,0.0007166250034060795
77,6,3,4,0.8,0.00499416699676658,0.0014636249979957938
78,6,3,8,0.8,0.00499416699676658,0.0029757080010313075
79,6,3,16,0.8,0.00499416699676658,0.005593916001089383
80,6,4,1,0.2,0.00455458299984457,0.00022754200108465739
81,6,4,2,0.2,0.00455458299984457,0.00038433300142060034
82,6,4,4,0.2,0.00455458299984457,0.0007026250023045577
83,6,4,8,0.2,0.00455458299984457,0.0014324170006148051
84,6,4,16,0.2,0.00455458299984457,0.002782291998300934
85,6,4,1,0.4,0.004878625000856118,0.0003357499990670476
86,6,4,2,0.4,0.004878625000856118,0.0005800409999210387
87,6,4,4,0.4,0.004878625000856118,0.0012190829984319862
88,6,4,8,0.4,0.004878625000856118,0.0022600840020459145
89,6,4,16,0.4,0.004878625000856118,0.004713458998594433
90,6,4,1,0.6,0.004784667002240894,0.00031524999940302223
91,6,4,2,0.6,0.004784667002240894,0.0005393329993239604
92,6,4,4,0.6,0.004784667002240894,0.0011345419989083894
93,6,4,8,0.6,0.004784667002240894,0.002099624998663785
94,6,4,16,0.6,0.004784667002240894,0.004126625000935746
95,6,4,1,0.8,0.0046498750016326085,0.000369249999494059
96,6,4,2,0.8,0.0046498750016326085,0.0006350839976221323
97,6,4,4,0.8,0.0046498750016326085,0.0012753330011037178
98,6,4,8,0.8,0.0046498750016326085,0.0026769579999381676
99,6,4,16,0.8,0.0046498750016326085,0.0046499169984599575
100,6,5,1,0.2,0.004209792001347523,0.0001916250002977904
101,6,5,2,0.2,0.004209792001347523,0.00029683300090255216
102,6,5,4,0.2,0.004209792001347523,0.0005425420022220351
103,6,5,8,0.2,0.004209792001347523,0.0011125829987577163
104,6,5,16,0.2,0.004209792001347523,0.00222179200136452
105,6,5,1,0.4,0.003992207999544917,0.00026745800278149545
106,6,5,2,0.4,0.003992207999544917,0.00043995899977744557
107,6,5,4,0.4,0.003992207999544917,0.0011645410013443325
108,6,5,8,0.4,0.003992207999544917,0.0016473340001539327
109,6,5,16,0.4,0.003992207999544917,0.00327912499778904
110,6,5,1,0.6,0.004859667002165224,0.0003942080002161674
111,6,5,2,0.6,0.004859667002165224,0.0006791669984522741
